Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
M,23,2.06,,USA,2020,Summer,Tokyo,Gold,Basketball Men's Basketball
M,20,,,NGR,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,27,,,NGR,2020,Summer,Tokyo,,"Wrestling Women's Light-Heavyweight, Freestyle"
M,19,1.78,,EGY,2020,Summer,Tokyo,,Football Men's Football
F,27,,,NGR,2020,Summer,Tokyo,,"Wrestling Women's Light-Heavyweight, Freestyle"
F,22,,,NGR,2020,Summer,Tokyo,,Badminton Women's Singles
F,19,,,KAZ,2020,Summer,Tokyo,,Rhythmic Gymnastics Women's Group
F,25,,,SWE,2020,Summer,Tokyo,,Women's Artistic Gymnastics
F,34,1.86,,GBR,2020,Summer,Tokyo,,Judo Women's Half-Middleweight
F,29,,,FRA,2020,Summer,Tokyo,,Women's Surfing
M,21,1.88,,HUN,2020,Summer,Tokyo,,Men's Canoe Sprint
M,27,,,LTU,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
F,27,1.55,,CHI,2020,Summer,Tokyo,,Football Women's Football
F,21,1.73,,FRA,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,23,,,PUR,2020,Summer,Tokyo,,Table Tennis Men's Team
M,29,1.77,,ANG,2020,Summer,Tokyo,,Sailing Men's Two Person Dinghy
F,23,,,POR,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,24,,,CGO,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,22,1.64,,ROC,2020,Summer,Tokyo,,Women's Cycling BMX Racing
F,18,,,MON,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,26,1.91,,NGR,2020,Summer,Tokyo,,Basketball Men's Basketball
F,23,,,RWA,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,30,,,NED,2020,Summer,Tokyo,Silver,Athletics Men's Shot Put
M,27,,,JPN,2020,Summer,Tokyo,,Handball Men's Handball
F,26,1.72,,JPN,2020,Summer,Tokyo,Gold,Women's Baseball/Softball
F,28,,,FRA,2020,Summer,Tokyo,Gold,Judo Women's Half-Middleweight
F,28,,,FRA,2020,Summer,Tokyo,Gold,Judo Women's Half-Middleweight
