Sex,NOC,Height,Weight,Age,Season,City,Year,Event,Medal
M,MAS,0.0,0.0,19.0,Summer,Paris,2024,"Diving ""Mens 10m Platform""",
M,IRQ,180.0,0.0,23.0,Summer,Paris,2024,Football Men,
M,MAS,0.0,0.0,32.0,Summer,Paris,2024,Shooting 10m Air Pistol Men,
F,MAS,0.0,0.0,27.0,Summer,Paris,2024,"Cycling Road ""Womens Road Race""",
F,MAS,0.0,0.0,26.0,Summer,Paris,2024,"Sailing ""Womens Dinghy""",
M,IRQ,178.0,0.0,20.0,Summer,Paris,2024,Football Men,
M,IRQ,176.0,0.0,23.0,Summer,Paris,2024,Football Men,
M,IRQ,183.0,0.0,23.0,Summer,Paris,2024,Football Men,
M,IRQ,177.0,0.0,23.0,Summer,Paris,2024,Football Men,
M,MTN,0.0,0.0,22.0,Summer,Paris,2024,"Swimming ""Mens 50m Freestyle""",
F,SGP,0.0,0.0,32.0,Summer,Paris,2024,Equestrian Dressage Individual,
F,MEX,149.0,0.0,39.0,Summer,Paris,2024,"Athletics ""Womens Marathon""",
M,IRI,0.0,0.0,21.0,Summer,Paris,2024,Taekwondo Men +80kg,Gold
M,IRI,0.0,0.0,24.0,Summer,Paris,2024,Taekwondo Men -80kg,Silver
F,IRI,0.0,0.0,19.0,Summer,Paris,2024,Taekwondo Women -49kg,Bronze
F,IRI,0.0,0.0,26.0,Summer,Paris,2024,Taekwondo Women -57kg,Silver
M,GAB,0.0,0.0,22.0,Summer,Paris,2024,"Swimming ""Mens 50m Freestyle""",
F,DJI,0.0,0.0,21.0,Summer,Paris,2024,"Swimming ""Womens 50m Freestyle""",
M,MEX,0.0,0.0,18.0,Summer,Paris,2024,"Marathon Swimming ""Mens 10km""",
F,MEX,0.0,0.0,26.0,Summer,Paris,2024,"Marathon Swimming ""Womens 10km""",
F,MEX,0.0,0.0,19.0,Summer,Paris,2024,"Diving ""Womens 3m Springboard""",
M,MEX,0.0,0.0,26.0,Summer,Paris,2024,"Diving ""Mens Synchronised 3m Springboard""",
F,MEX,0.0,0.0,22.0,Summer,Paris,2024,"Diving ""Womens 3m Springboard""",
M,IRI,170.0,0.0,30.0,Summer,Paris,2024,"Sport Climbing ""Mens Speed""",
M,IRI,0.0,0.0,32.0,Summer,Paris,2024,"Table Tennis ""Mens Singles""",
M,IRI,0.0,0.0,33.0,Summer,Paris,2024,"Table Tennis ""Mens Singles""",
M,IRQ,171.0,0.0,26.0,Summer,Paris,2024,"Athletics ""Mens 100m""",
F,IND,0.0,0.0,26.0,Summer,Paris,2024,Judo Women +78 kg,
M,MEX,170.0,0.0,33.0,Summer,Paris,2024,"Golf ""Mens Individual Stroke Play""",
M,IND,177.0,0.0,28.0,Summer,Paris,2024,"Golf ""Mens Individual Stroke Play""",
M,IND,184.0,0.0,36.0,Summer,Paris,2024,"Golf ""Mens Individual Stroke Play""",
M,ETH,176.0,0.0,19.0,Summer,Paris,2024,"Athletics ""Mens 1500m""",
M,MEX,0.0,0.0,24.0,Summer,Paris,2024,"Archery ""Mens Individual"", ""Mens Team""",
M,MEX,0.0,0.0,26.0,Summer,Paris,2024,"Archery ""Mens Individual"", ""Mens Team""",
F,MEX,0.0,0.0,24.0,Summer,Paris,2024,"Archery ""Womens Individual"", ""Womens Team""",
M,MEX,198.0,0.0,33.0,Summer,Paris,2024,"Athletics ""Mens High Jump""",
F,MEX,167.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Womens 100m"", ""Womens 200m""",
F,ETH,170.0,0.0,27.0,Summer,Paris,2024,"Athletics ""Womens 800m""",
F,ETH,172.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Womens 800m""",
F,ETH,164.0,0.0,23.0,Summer,Paris,2024,"Athletics ""Womens 800m""",Silver
F,IND,173.0,0.0,26.0,Summer,Paris,2024,"Golf ""Womens Individual Stroke Play""",
F,IND,175.0,0.0,24.0,Summer,Paris,2024,"Golf ""Womens Individual Stroke Play""",
